Person;Gender;Case;ID
meine Mutter;1;N;1
eine Mutter;1;N;1
die Mutter;1;N;1
meine Schwester;1;N;2
eine Schwester;1;N;2
die Schwester;1;N;2
die Frau;1;N;3
eine Frau;1;N;3
meine Tochter;1;N;4
eine Tochter;1;N;4
die Tochter;1;N;4
das Mädchen;1;N;5
ein Mädchen;1;N;5
meine Tante;1;N;6
eine Tante;1;N;6
die Tante;1;N;6
meine Ehefrau;1;N;7
eine Ehefrau;1;N;7
die Ehefrau;1;N;7
meine Freundin;1;N;8
eine Freundin;1;N;8
die Freundin;1;N;8
sie;1;N;9
meine Mutter;1;A;1
eine Mutter;1;A;1
die Mutter;1;A;1
meine Schwester;1;A;2
eine Schwester;1;A;2
die Schwester;1;A;2
die Frau;1;A;3
eine Frau;1;A;3
meine Tochter;1;A;4
eine Tochter;1;A;4
die Tochter;1;A;4
das Mädchen;1;A;5
ein Mädchen;1;A;5
meine Tante;1;A;6
eine Tante;1;A;6
die Tante;1;A;6
meine Ehefrau;1;A;7
eine Ehefrau;1;A;7
die Ehefrau;1;A;7
meine Freundin;1;A;8
eine Freundin;1;A;8
die Freundin;1;A;8
sie;1;A;9
meiner Mutter;1;D;1
einer Mutter;1;D;1
der Mutter;1;D;1
meiner Schwester;1;D;2
einer Schwester;1;D;2
der Schwester;1;D;2
der Frau;1;D;3
einer Frau;1;D;3
meiner Tochter;1;D;4
einer Tochter;1;D;4
der Tochter;1;D;4
dem Mädchen;1;D;5
einem Mädchen;1;D;5
meiner Tante;1;D;6
einer Tante;1;D;6
der Tante;1;D;6
meiner Ehefrau;1;D;7
einer Ehefrau;1;D;7
der Ehefrau;1;D;7
meiner Freundin;1;D;8
einer Freundin;1;D;8
der Freundin;1;D;8
ihr;1;D;9
mein Vater;0;N;1
ein Vater;0;N;1
der Vater;0;N;1
mein Bruder;0;N;2
ein Bruder;0;N;2
der Bruder;0;N;2
der Mann;0;N;3
ein Mann;0;N;3
mein Sohn;0;N;4
ein Sohn;0;N;4
der Sohn;0;N;4
der Junge;0;N;5
ein Junge;0;N;5
mein Onkel;0;N;6
ein Onkel;0;N;6
der Onkel;0;N;6
mein Ehemann;0;N;7
ein Ehemann;0;N;7
der Ehemann;0;N;7
mein Freund;0;N;8
ein Freund;0;N;8
der Freund;0;N;8
er;0;N;9
meinen Vater;0;A;1
einen Vater;0;A;1
den Vater;0;A;1
meinen Bruder;0;A;2
einen Bruder;0;A;2
den Bruder;0;A;2
den Mann;0;A;3
einen Mann;0;A;3
meinen Sohn;0;A;4
einen Sohn;0;A;4
den Sohn;0;A;4
den Jungen;0;A;5
einen Jungen;0;A;5
meinen Onkel;0;A;6
einen Onkel;0;A;6
den Onkel;0;A;6
meinen Ehemann;0;A;7
einen Ehemann;0;A;7
den Ehemann;0;A;7
meinen Freund;0;A;8
einen Freund;0;A;8
den Freund;0;A;8
ihn;0;A;9
meinem Vater;0;D;1
einem Vater;0;D;1
dem Vater;0;D;1
meinem Bruder;0;D;2
einem Bruder;0;D;2
dem Bruder;0;D;2
dem Mann;0;D;3
einem Mann;0;D;3
meinem Sohn;0;D;4
einem Sohn;0;D;4
dem Sohn;0;D;4
dem Jungen;0;D;5
einem Jungen;0;D;5
meinem Onkel;0;D;6
einem Onkel;0;D;6
dem Onkel;0;D;6
meinem Ehemann;0;D;7
einem Ehemann;0;D;7
dem Ehemann;0;D;7
meinem Freund;0;D;8
einem Freund;0;D;8
dem Freund;0;D;8
ihm;0;D;9
