Person;Gender;Equivalent
Alexandra;1;Alexander
Amelie;1;
Amina;1;
Amira;1;
Andrea;1;Andreas
Anna;1;
Antonia;1;Anton
Ava;1;
Ayla;1;
Celina;1;
Charlotte;1;
Christa;1;
Christine;1;Christian
Elisa;1;Elias
Emma;1;
Greta;1;
Hannah;1;Hans
Helena;1;
Ida;1;
Jana;1;Jan
Johanna;1;Johannes
Julia;1;Julian
Karin;1;
Laura;1;
Lea;1;
Lena;1;
Leonie;1;Leon
Lisa;1;
Louisa;1;Louis
Luna;1;
Mara;1;
Marie;1;
Marlene;1;
Mia;1;
Michelle;1;Michel
Mila;1;Milan
Monika;1;
Nora;1;Noah
Olivia;1;
Paula;1;Paul
Petra;1;Peter
Renate;1;
Sabine;1;
Sara;1;
Selina;1;
Sophie;1;
Valentina;1;Valentin
Vanessa;1;
Viktoria;1;Viktor
Adam;0;
Alexander;0;Alexandra
Ali;0;
Andreas;0;Andrea
Ben;0;
Benjamin;0;
Bernd;0;
Can;0;
Christian;0;Christiane
Dominik;0;
Emil;0;Emilia
Felix;0;
Finn;0;Finja
Gabriel;0;Gabriela
Hamza;0;
Ibrahim;0;
Jan;0;Jana
Johannes;0;Johanna
Josef;0;Josefine
Karl;0;Karla
Leo;0;Leonie
Leonard;0;
Levi;0;
Liam;0;
Luis;0;Luisa
Lukas;0;
Malik;0;
Marcel;0;
Martin;0;Martina
Matteo;0;
Maximilian;0;
Mohamed;0;
Moritz;0;
Nico;0;
Niklas;0;Nikola
Noah;0;Nora
Oskar;0;
Peter;0;Petra
Philipp;0;Philippa
Samuel;0;
Sebastian;0;
Simon;0;Simone
Stefan;0;Stefanie
Theo;0;
Thomas;0;
Tom;0;
Vincent;0;
Walter;0;
Yusuf;0;
