Person;Gender;Case;Stereotype;ID
eine fiktive Erzieherin;1;N;f;1
eine fiktive Putzfrau;1;N;f;2
eine fiktive Astronautin;1;N;;3
eine fiktive Sportlerin;1;N;;4
eine fiktive Bedienstete;1;N;f;5
eine fiktive Babysitterin;1;N;f;6
eine fiktive Bankkauffrau;1;N;;7
eine fiktive Maklerin;1;N;;8
eine fiktive Kosmetikerin;1;N;f;9
eine fiktive Tischlerin;1;N;;10
eine fiktive Kassiererin;1;N;f;11
eine fiktive Friseurin;1;N;f;12
eine fiktive Köchin;1;N;;13
eine fiktive Tänzerin;1;N;f;14
eine fiktive Zahnärztin;1;N;;15
eine fiktive Polizistin;1;N;;16
eine fiktive Filmregisseurin;1;N;;17
eine fiktive Ärztin;1;N;m;18
eine fiktive Zeitschriftenredakteurin;1;N;;19
eine fiktive Ingenieurin;1;N;m;20
eine fiktive Unternehmerin;1;N;m;21
eine fiktive Feuerwehrfrau;1;N;m;22
eine fiktive Praktikantin;1;N;;23
eine fiktive Erfinderin;1;N;;24
eine fiktive Hausmeisterin;1;N;m;25
eine fiktive Journalistin;1;N;;26
eine fiktive Richterin;1;N;;27
eine fiktive Anwältin;1;N;m;28
eine fiktive Rettungsschwimmerin;1;N;;29
eine fiktive Managerin;1;N;m;30
eine fiktive Mechanikerin;1;N;m;31
eine fiktive Musikerin;1;N;;32
eine fiktive Krankenpflegerin;1;N;f;33
eine fiktive Fotografin;1;N;;34
eine fiktive Pilotin;1;N;m;35
eine fiktive Klempnerin;1;N;m;36
eine fiktive Kellnerin;1;N;f;37
eine fiktive Politikerin;1;N;;38
eine fiktive Professorin;1;N;;39
eine fiktive Programmiererin;1;N;;40
eine fiktive Grundschullehrerin;1;N;f;41
eine fiktive Verkäuferin;1;N;f;42
eine fiktive Wissenschaftlerin;1;N;;43
eine fiktive Sekretärin;1;N;f;44
eine fiktive Sängerin;1;N;;45
eine fiktive Spionin;1;N;;46
eine fiktive Chirurgin;1;N;m;47
eine fiktive Schneiderin;1;N;;48
eine fiktive Lehrerin;1;N;;49
eine fiktive Technikerin;1;N;m;50
eine fiktive Schriftstellerin;1;N;;51
eine fiktive Busfahrerin;1;N;m;52
ein fiktiver Erzieher;0;N;f;1
ein fiktiver Putzmann;0;N;f;2
ein fiktiver Astronaut;0;N;;3
ein fiktiver Sportler;0;N;;4
ein fiktiver Bediensteter;0;N;f;5
ein fiktiver Babysitter;0;N;f;6
ein fiktiver Bankkaufmann;0;N;;7
ein fiktiver Makler;0;N;;8
ein fiktiver Kosmetiker;0;N;f;9
ein fiktiver Tischler;0;N;;10
ein fiktiver Kassierer;0;N;f;11
ein fiktiver Friseur;0;N;f;12
ein fiktiver Koch;0;N;;13
ein fiktiver Tänzer;0;N;f;14
ein fiktiver Zahnarzt;0;N;;15
ein fiktiver Polizist;0;N;;16
ein fiktiver Filmregisseur;0;N;;17
ein fiktiver Arzt;0;N;m;18
ein fiktiver Zeitschriftenredakteur;0;N;;19
ein fiktiver Ingenieur;0;N;m;20
ein fiktiver Unternehmer;0;N;m;21
ein fiktiver Feuerwehrmann;0;N;m;22
ein fiktiver Praktikant;0;N;;23
ein fiktiver Erfinder;0;N;;24
ein fiktiver Hausmeister;0;N;m;25
ein fiktiver Journalist;0;N;;26
ein fiktiver Richter;0;N;;27
ein fiktiver Anwalt;0;N;m;28
ein fiktiver Rettungsschwimmer;0;N;;29
ein fiktiver Manager;0;N;m;30
ein fiktiver Mechaniker;0;N;m;31
ein fiktiver Musiker;0;N;;32
ein fiktiver Krankenpfleger;0;N;f;33
ein fiktiver Fotograf;0;N;;34
ein fiktiver Pilot;0;N;m;35
ein fiktiver Klempner;0;N;m;36
ein fiktiver Kellner;0;N;f;37
ein fiktiver Politiker;0;N;;38
ein fiktiver Professor;0;N;;39
ein fiktiver Programmierer;0;N;;40
ein fiktiver Grundschullehrer;0;N;f;41
ein fiktiver Verkäufer;0;N;f;42
ein fiktiver Wissenschaftler;0;N;;43
ein fiktiver Sekretär;0;N;f;44
ein fiktiver Sänger;0;N;;45
ein fiktiver Spion;0;N;;46
ein fiktiver Chirurg;0;N;m;47
ein fiktiver Schneider;0;N;;48
ein fiktiver Lehrer;0;N;;49
ein fiktiver Techniker;0;N;m;50
ein fiktiver Schriftsteller;0;N;;51
ein fiktiver Busfahrer;0;N;m;52
eine fiktive Erzieherin;1;A;f;1
eine fiktive Putzfrau;1;A;f;2
eine fiktive Astronautin;1;A;;3
eine fiktive Sportlerin;1;A;;4
eine fiktive Bedienstete;1;A;f;5
eine fiktive Babysitterin;1;A;f;6
eine fiktive Bankkauffrau;1;A;;7
eine fiktive Maklerin;1;A;;8
eine fiktive Kosmetikerin;1;A;f;9
eine fiktive Tischlerin;1;A;;10
eine fiktive Kassiererin;1;A;f;11
eine fiktive Friseurin;1;A;f;12
eine fiktive Köchin;1;A;;13
eine fiktive Tänzerin;1;A;f;14
eine fiktive Zahnärztin;1;A;;15
eine fiktive Polizistin;1;A;;16
eine fiktive Filmregisseurin;1;A;;17
eine fiktive Ärztin;1;A;m;18
eine fiktive Zeitschriftenredakteurin;1;A;;19
eine fiktive Ingenieurin;1;A;m;20
eine fiktive Unternehmerin;1;A;m;21
eine fiktive Feuerwehrfrau;1;A;m;22
eine fiktive Praktikantin;1;A;;23
eine fiktive Erfinderin;1;A;;24
eine fiktive Hausmeisterin;1;A;m;25
eine fiktive Journalistin;1;A;;26
eine fiktive Richterin;1;A;;27
eine fiktive Anwältin;1;A;m;28
eine fiktive Rettungsschwimmerin;1;A;;29
eine fiktive Managerin;1;A;m;30
eine fiktive Mechanikerin;1;A;m;31
eine fiktive Musikerin;1;A;;32
eine fiktive Krankenpflegerin;1;A;f;33
eine fiktive Fotografin;1;A;;34
eine fiktive Pilotin;1;A;m;35
eine fiktive Klempnerin;1;A;m;36
eine fiktive Kellnerin;1;A;f;37
eine fiktive Politikerin;1;A;;38
eine fiktive Professorin;1;A;;39
eine fiktive Programmiererin;1;A;;40
eine fiktive Grundschullehrerin;1;A;f;41
eine fiktive Verkäuferin;1;A;f;42
eine fiktive Wissenschaftlerin;1;A;;43
eine fiktive Sekretärin;1;A;f;44
eine fiktive Sängerin;1;A;;45
eine fiktive Spionin;1;A;;46
eine fiktive Chirurgin;1;A;m;47
eine fiktive Schneiderin;1;A;;48
eine fiktive Lehrerin;1;A;;49
eine fiktive Technikerin;1;A;m;50
eine fiktive Schriftstellerin;1;A;;51
eine fiktive Busfahrerin;1;A;m;52
einen fiktiven Erzieher;0;A;f;1
einen fiktiven Putzmann;0;A;f;2
einen fiktiven Astronauten;0;A;;3
einen fiktiven Sportler;0;A;;4
einen fiktiven Bediensteten;0;A;f;5
einen fiktiven Babysitter;0;A;f;6
einen fiktiven Bankkaufmann;0;A;;7
einen fiktiven Makler;0;A;;8
einen fiktiven Kosmetiker;0;A;f;9
einen fiktiven Tischler;0;A;;10
einen fiktiven Kassierer;0;A;f;11
einen fiktiven Friseur;0;A;f;12
einen fiktiven Koch;0;A;;13
einen fiktiven Tänzer;0;A;f;14
einen fiktiven Zahnarzt;0;A;;15
einen fiktiven Polizisten;0;A;;16
einen fiktiven Filmregisseur;0;A;;17
einen fiktiven Arzt;0;A;m;18
einen fiktiven Zeitschriftenredakteur;0;A;;19
einen fiktiven Ingenieur;0;A;m;20
einen fiktiven Unternehmer;0;A;m;21
einen fiktiven Feuerwehrmann;0;A;m;22
einen fiktiven Praktikanten;0;A;;23
einen fiktiven Erfinder;0;A;;24
einen fiktiven Hausmeister;0;A;m;25
einen fiktiven Journalisten;0;A;;26
einen fiktiven Richter;0;A;;27
einen fiktiven Anwalt;0;A;m;28
einen fiktiven Rettungsschwimmer;0;A;;29
einen fiktiven Manager;0;A;m;30
einen fiktiven Mechaniker;0;A;m;31
einen fiktiven Musiker;0;A;;32
einen fiktiven Krankenpfleger;0;A;f;33
einen fiktiven Fotograf;0;A;;34
einen fiktiven Piloten;0;A;m;35
einen fiktiven Klempner;0;A;m;36
einen fiktiven Kellner;0;A;f;37
einen fiktiven Politiker;0;A;;38
einen fiktiven Professor;0;A;;39
einen fiktiven Programmierer;0;A;;40
einen fiktiven Grundschullehrer;0;A;f;41
einen fiktiven Verkäufer;0;A;f;42
einen fiktiven Wissenschaftler;0;A;;43
einen fiktiven Sekretär;0;A;f;44
einen fiktiven Sänger;0;A;;45
einen fiktiven Spion;0;A;;46
einen fiktiven Chirurgen;0;A;m;47
einen fiktiven Schneider;0;A;;48
einen fiktiven Lehrer;0;A;;49
einen fiktiven Techniker;0;A;m;50
einen fiktiven Schriftsteller;0;A;;51
einen fiktiven Busfahrer;0;A;m;52
einer fiktiven Erzieherin;1;D;f;1
einer fiktiven Putzfrau;1;D;f;2
einer fiktiven Astronautin;1;D;;3
einer fiktiven Sportlerin;1;D;;4
einer fiktiven Bediensteten;1;D;f;5
einer fiktiven Babysitterin;1;D;f;6
einer fiktiven Bankkauffrau;1;D;;7
einer fiktiven Maklerin;1;D;;8
einer fiktiven Kosmetikerin;1;D;f;9
einer fiktiven Tischlerin;1;D;;10
einer fiktiven Kassiererin;1;D;f;11
einer fiktiven Friseurin;1;D;f;12
einer fiktiven Köchin;1;D;;13
einer fiktiven Tänzerin;1;D;f;14
einer fiktiven Zahnärztin;1;D;;15
einer fiktiven Polizistin;1;D;;16
