Person;Gender
Mutter;1
Schwester;1
Frau;1
Tochter;1
Mädchen;1
Tante;1
Ehefrau;1
Freundin;1
Sie;1
sie;1
Vater;0
Bruder;0
Mann;0
Sohn;0
Junge;0
Onkel;0
Ehemann;0
Freund;0
Er;0
er;0
Ihr;1
ihr;1
Ihm;0
ihm;0
Ihre;1
ihre;1
Sein;0
sein;0
Seine;0
seine;0
Bedienstete;1
Köchin;1
Zahnärztin;1
Ärztin;1
Anwältin;1
Bediensteter;0
Koch;0
Zahnarzt;0
Arzt;0
Anwalt;0
Alexandra;1
Amelie;1
Amina;1
Amira;1
Andrea;1
Anna;1
Antonia;1
Ava;1
Ayla;1
Celina;1
Charlotte;1
Christa;1
Christine;1
Elisa;1
Emma;1
Greta;1
Hannah;1
Helena;1
Ida;1
Jana;1
Johanna;1
Julia;1
Karin;1
Laura;1
Lea;1
Lena;1
Leonie;1
Lisa;1
Louisa;1
Luna;1
Mara;1
Marie;1
Marlene;1
Mia;1
Michelle;1
Mila;1
Monika;1
Nora;1
Olivia;1
Paula;1
Petra;1
Renate;1
Sabine;1
Sara;1
Selina;1
Sophie;1
Valentina;1
Vanessa;1
Victoria;1
Adam;0
Alexander;0
Ali;0
Andreas;0
Ben;0
Benjamin;0
Bernd;0
Can;0
Christian;0
Dominik;0
Emil;0
Felix;0
Finn;0
Gabriel;0
Hamza;0
Ibrahim;0
Jan;0
Johannes;0
Josef;0
Karl;0
Leo;0
Leonard;0
Levi;0
Liam;0
Luis;0
Lukas;0
Malik;0
Marcel;0
Martin;0
Matteo;0
Maximilian;0
Mohamed;0
Moritz;0
Nico;0
Niklas;0
Noah;0
Oskar;0
Peter;0
Philipp;0
Samuel;0
Sebastian;0
Simon;0
Stefan;0
Theo;0
Thomas;0
Tom;0
Vincent;0
Walter;0
Yusuf;0
Alex;0
Anne;1
Armin;0
Axel;0
Dennis;0
Diana;1
Elara;1
Elon;0
Emilia;1
Erik;0
Erika;1
Eva;1
Fritz;0
Hans;0
Harry;0
Heinrich;0
Helmut;0
Isabella;1
Jack;0
Jakob;0
Jean;0
Jenny;1
Johan;0
Johann;0
John;0
Jonathan;0
Julian;0
Jörg;0
Jürgen;0
Kai;0
Katharina;1
Klara;1
Kurt;0
Lars;0
Leon;0
Liane;1
Luca;0
Luisa;1
Marco;0
Marcus;0
Maria;1
Markus;0
Mathias;0
Max;0
Paul;0
Robert;0
Sarah;1
Sarina;1
Sophia;1
Timo;0
Ihren;1
ihren;1
Seinen;0
seinen;0
Ihrem;1
ihrem;1
Seinem;0
seinem;0
junger;0
junge;1
Der;0
der;0
Die;1
die;1
Mann;0
Frau;1
Krankenschwester;1
Alex;0
Alexandra;1
Amelie;1
Amina;1
Andreas;0
Anna;1
Anne;1
Armin;0
Axel;0
Dennis;0
Diana;1
Elara;1
Elisa;1
Elon;0
Emil;0
Emilia;1
Emma;1
Erik;0
Erika;1
Eva;1
Finn;0
Fritz;0
Hans;0
Harry;0
Heinrich;0
Helena;1
Helmut;0
Isabella;1
Jack;0
Jakob;0
Jean;0
Jenny;1
Johan;0
Johann;0
Johanna;1
Johannes;0
John;0
Jonathan;0
Julia;1
Julian;0
Jürg;0
Jörg;0
Jürgen;0
Kai;0
Karl;0
Katharina;1
Klara;1
Kurt;0
Lars;0
Lea;1
Lena;1
Leo;0
Leon;0
Liane;1
Lisa;1
Luca;0
Luisa;1
Lukas;0
Luna;1
Marcel;0
Marco;0
Marcus;0
Maria;1
Marie;1
Markus;0
Mathias;0
Max;0
Maximilian;0
Mia;1
Paul;0
Peter;0
Robert;0
Sara;1
Sarah;1
Sarina;1
Sebastian;0
Sophia;1
Thomas;0
Timo;0
Tom;0
Viktoria;1
Herr;0
