Person;Gender;Case;Stereotype;ID
eine typische Erzieherin;1;N;f;1
eine typische Putzfrau;1;N;f;2
eine typische Astronautin;1;N;;3
eine typische Sportlerin;1;N;;4
eine typische Bedienstete;1;N;f;5
eine typische Babysitterin;1;N;f;6
eine typische Bankkauffrau;1;N;;7
eine typische Maklerin;1;N;;8
eine typische Kosmetikerin;1;N;f;9
eine typische Tischlerin;1;N;;10
eine typische Kassiererin;1;N;f;11
eine typische Friseurin;1;N;f;12
eine typische Köchin;1;N;;13
eine typische Tänzerin;1;N;f;14
eine typische Zahnärztin;1;N;;15
eine typische Polizistin;1;N;;16
eine typische Filmregisseurin;1;N;;17
eine typische Ärztin;1;N;m;18
eine typische Zeitschriftenredakteurin;1;N;;19
eine typische Ingenieurin;1;N;m;20
eine typische Unternehmerin;1;N;m;21
eine typische Feuerwehrfrau;1;N;m;22
eine typische Praktikantin;1;N;;23
eine typische Erfinderin;1;N;;24
eine typische Hausmeisterin;1;N;m;25
eine typische Journalistin;1;N;;26
eine typische Richterin;1;N;;27
eine typische Anwältin;1;N;m;28
eine typische Rettungsschwimmerin;1;N;;29
eine typische Managerin;1;N;m;30
eine typische Mechanikerin;1;N;m;31
eine typische Musikerin;1;N;;32
eine typische Krankenpflegerin;1;N;f;33
eine typische Fotografin;1;N;;34
eine typische Pilotin;1;N;m;35
eine typische Klempnerin;1;N;m;36
eine typische Kellnerin;1;N;f;37
eine typische Politikerin;1;N;;38
eine typische Professorin;1;N;;39
eine typische Programmiererin;1;N;;40
eine typische Grundschullehrerin;1;N;f;41
eine typische Verkäuferin;1;N;f;42
eine typische Wissenschaftlerin;1;N;;43
eine typische Sekretärin;1;N;f;44
eine typische Sängerin;1;N;;45
eine typische Spionin;1;N;;46
eine typische Chirurgin;1;N;m;47
eine typische Schneiderin;1;N;;48
eine typische Lehrerin;1;N;;49
eine typische Technikerin;1;N;m;50
eine typische Schriftstellerin;1;N;;51
eine typische Busfahrerin;1;N;m;52
ein typischer Erzieher;0;N;f;1
ein typischer Putzmann;0;N;f;2
ein typischer Astronaut;0;N;;3
ein typischer Sportler;0;N;;4
ein typischer Bediensteter;0;N;f;5
ein typischer Babysitter;0;N;f;6
ein typischer Bankkaufmann;0;N;;7
ein typischer Makler;0;N;;8
ein typischer Kosmetiker;0;N;f;9
ein typischer Tischler;0;N;;10
ein typischer Kassierer;0;N;f;11
ein typischer Friseur;0;N;f;12
ein typischer Koch;0;N;;13
ein typischer Tänzer;0;N;f;14
ein typischer Zahnarzt;0;N;;15
ein typischer Polizist;0;N;;16
ein typischer Filmregisseur;0;N;;17
ein typischer Arzt;0;N;m;18
ein typischer Zeitschriftenredakteur;0;N;;19
ein typischer Ingenieur;0;N;m;20
ein typischer Unternehmer;0;N;m;21
ein typischer Feuerwehrmann;0;N;m;22
ein typischer Praktikant;0;N;;23
ein typischer Erfinder;0;N;;24
ein typischer Hausmeister;0;N;m;25
ein typischer Journalist;0;N;;26
ein typischer Richter;0;N;;27
ein typischer Anwalt;0;N;m;28
ein typischer Rettungsschwimmer;0;N;;29
ein typischer Manager;0;N;m;30
ein typischer Mechaniker;0;N;m;31
ein typischer Musiker;0;N;;32
ein typischer Krankenpfleger;0;N;f;33
ein typischer Fotograf;0;N;;34
ein typischer Pilot;0;N;m;35
ein typischer Klempner;0;N;m;36
ein typischer Kellner;0;N;f;37
ein typischer Politiker;0;N;;38
ein typischer Professor;0;N;;39
ein typischer Programmierer;0;N;;40
ein typischer Grundschullehrer;0;N;f;41
ein typischer Verkäufer;0;N;f;42
ein typischer Wissenschaftler;0;N;;43
ein typischer Sekretär;0;N;f;44
ein typischer Sänger;0;N;;45
ein typischer Spion;0;N;;46
ein typischer Chirurg;0;N;m;47
ein typischer Schneider;0;N;;48
ein typischer Lehrer;0;N;;49
ein typischer Techniker;0;N;m;50
ein typischer Schriftsteller;0;N;;51
ein typischer Busfahrer;0;N;m;52
eine typische Erzieherin;1;A;f;1
eine typische Putzfrau;1;A;f;2
eine typische Astronautin;1;A;;3
eine typische Sportlerin;1;A;;4
eine typische Bedienstete;1;A;f;5
eine typische Babysitterin;1;A;f;6
eine typische Bankkauffrau;1;A;;7
eine typische Maklerin;1;A;;8
eine typische Kosmetikerin;1;A;f;9
eine typische Tischlerin;1;A;;10
eine typische Kassiererin;1;A;f;11
eine typische Friseurin;1;A;f;12
eine typische Köchin;1;A;;13
eine typische Tänzerin;1;A;f;14
eine typische Zahnärztin;1;A;;15
eine typische Polizistin;1;A;;16
eine typische Filmregisseurin;1;A;;17
eine typische Ärztin;1;A;m;18
eine typische Zeitschriftenredakteurin;1;A;;19
eine typische Ingenieurin;1;A;m;20
eine typische Unternehmerin;1;A;m;21
eine typische Feuerwehrfrau;1;A;m;22
eine typische Praktikantin;1;A;;23
eine typische Erfinderin;1;A;;24
eine typische Hausmeisterin;1;A;m;25
eine typische Journalistin;1;A;;26
eine typische Richterin;1;A;;27
eine typische Anwältin;1;A;m;28
eine typische Rettungsschwimmerin;1;A;;29
eine typische Managerin;1;A;m;30
eine typische Mechanikerin;1;A;m;31
eine typische Musikerin;1;A;;32
eine typische Krankenpflegerin;1;A;f;33
eine typische Fotografin;1;A;;34
eine typische Pilotin;1;A;m;35
eine typische Klempnerin;1;A;m;36
eine typische Kellnerin;1;A;f;37
eine typische Politikerin;1;A;;38
eine typische Professorin;1;A;;39
eine typische Programmiererin;1;A;;40
eine typische Grundschullehrerin;1;A;f;41
eine typische Verkäuferin;1;A;f;42
eine typische Wissenschaftlerin;1;A;;43
eine typische Sekretärin;1;A;f;44
eine typische Sängerin;1;A;;45
eine typische Spionin;1;A;;46
eine typische Chirurgin;1;A;m;47
eine typische Schneiderin;1;A;;48
eine typische Lehrerin;1;A;;49
eine typische Technikerin;1;A;m;50
eine typische Schriftstellerin;1;A;;51
eine typische Busfahrerin;1;A;m;52
einen typischen Erzieher;0;A;f;1
einen typischen Putzmann;0;A;f;2
