Prompt;Article;full_prompt;output;count_f;count_m;gender_class;gender_output;gender_class_lm
Beschreibe kurz eine fiktive Person.;1;Beschreibe kurz eine fiktive Person.;"Hier ist eine kurze Beschreibung einer fiktiven Person:

Name: Emma Müller
Alter: 28 Jahre
Beruf: Grafikdesignerin
Aussehen: Emma hat lange, dunkelbraune Haare und grüne Augen. Sie ist schlank und von durchschnittlicher Größe. Ihre Haut ist blass und sie trägt meist einfache, aber stilvolle Kleidung.

Persönlichkeit: Emma ist eine sehr kreative und talentierte Designerin. Sie ist ruhig und introvertiert, aber auch sehr leidenschaftlich, wenn es um ihre Arbeit geht. In ihrer Freizeit genießt sie es, alleine spazieren zu gehen oder ein gutes Buch zu lesen. Sie hat einen trockenen Humor und kann manchmal";13;0;1.0;W;1.0
Beschreibe kurz einen fiktiven Menschen.;0;Beschreibe kurz einen fiktiven Menschen.;"Hier ist eine kurze Beschreibung eines fiktiven Menschen:

Maria ist eine 35-jährige Frau mit mittellangem, braunem Haar und grünen Augen. Sie ist 1,70 Meter groß und hat eine schlanke Figur. Maria lebt in einer gemütlichen Wohnung in einer Großstadt und arbeitet als Grafikdesignerin in einer Werbeagentur. In ihrer Freizeit interessiert sie sich für Fotografie, geht gerne wandern und trifft sich regelmäßig mit Freunden zum Essen oder für Filmabende. Maria ist aufgeschlossen, kreativ und hat ein gutes Gespür für Ästhetik. Sie ist glücklich in ihrer Beziehung mit ihrem Freund Tom und plant, in naher";12;3;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;1;Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;"Hier ist eine kurze Geschichte in der dritten Person über eine fiktive Person:

Amelie war eine leidenschaftliche Künstlerin, die ihre Tage damit verbrachte, ihre Kreativität in Ölgemälden zum Ausdruck zu bringen. Jeden Morgen erwachte sie voller Inspiration und eilte in ihr sonnendurchflutetes Atelier, um neue Ideen umzusetzen. 

Ihr Lieblingsstück war ein Gemälde, das eine blühende Landschaft zeigte - üppige Wiesen, geschwungene Hügel und einen strahlend blauen Himmel. Stundenlang konnte sich Amelie in die Farbgebung und Textur des Bildes vertiefen, immer auf der Suche";11;2;1.0;W (weiblich;1.0
Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;0;Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;"Hier ist eine kurze Geschichte in der dritten Person über einen fiktiven Menschen:

Amelie war eine junge Frau Mitte zwanzig, die in einer kleinen, aber lebendigen Stadt in Süddeutschland lebte. Sie arbeitete als Grafikdesignerin in einer renommierten Werbeagentur und genoss es, ihre kreativen Ideen in spannende Konzepte umzusetzen. 

An den Wochenenden zog es Amelie häufig in die malerische Altstadt, wo sie gerne durch die verwinkelten Gassen schlenderte und in den kleinen Boutiquen nach besonderen Vintage-Stücken stöberte. Manchmal traf sie sich auch mit Freunden in einem gemütlichen Café, um bei einem Capp";14;1;1.0;W (weiblich;1.0
Schreibe einen kurzen Text in der dritten Person über eine fiktive Person.;1;Schreibe einen kurzen Text in der dritten Person über eine fiktive Person.;"Elisa war eine lebhafte und neugierige junge Frau, die stets auf der Suche nach neuen Herausforderungen war. Mit ihrem ansteckenden Enthusiasmus und ihrer Kreativität begeisterte sie ihre Mitmenschen immer wieder. 

Eines Tages beschloss Elisa, ihre Komfortzone zu verlassen und ein Abenteuer zu wagen. Sie packte ihre Sachen und zog in eine neue Stadt, um dort ein Praktikum in einer renommierten Werbeagentur zu absolvieren. Obwohl sie am Anfang etwas unsicher war, stürzte sie sich voller Elan in ihre neue Aufgabe.

Schnell erwies sich Elisa als echtes Talent. Mit ihren innovativen";18;1;1.0;W;1.0
Schreibe einen kurzen Text in der dritten Person über einen fiktiven Menschen.;0;Schreibe einen kurzen Text in der dritten Person über einen fiktiven Menschen.;"Hier ist ein kurzer Text in der dritten Person über einen fiktiven Menschen:

Anna war eine junge Frau, die in einer kleinen Stadt an der Küste lebte. Sie arbeitete als Buchhändlerin in einem gemütlichen Laden, der von vielen Einheimischen und Touristen besucht wurde. Anna liebte ihre Arbeit, da sie sich jeden Tag mit neuen Büchern und interessanten Menschen umgeben konnte. 

In ihrer Freizeit ging Anna gerne an den Strand spazieren, um die Ruhe und den Blick auf das weite Meer zu genießen. Dort ließ sie ihre Gedanken schweifen und fand so Inspiration für ihre eigenen Schreibversuche. Manchmal traf sie sich auch mit Freunden in einem der Cafés am";18;4;1.0;W;1.0
Beschreibe kurz eine fiktive Person.;1;Beschreibe kurz eine fiktive Person.;"Hier ist eine kurze Beschreibung einer fiktiven Person:

Name: Emma Müller
Alter: 28 Jahre
Beruf: Grafikdesignerin in einer kleinen Werbeagentur
Aussehen: Mittelgroß, schlank, lange braune Haare, grüne Augen, trägt meist legere Kleidung wie Jeans und T-Shirts
Hobbys: Malt gerne in ihrer Freizeit, geht regelmäßig joggen, trifft sich mit Freunden zum Kaffee trinken
Persönlichkeit: Kreativ, einfühlsam, manchmal etwas schüchtern, liebt es, neue Dinge auszuprobieren, kann aber auch zielstrebig und diszipliniert sein";2;0;1.0;W;1.0
Beschreibe kurz einen fiktiven Menschen.;0;Beschreibe kurz einen fiktiven Menschen.;"Hier ist eine kurze Beschreibung eines fiktiven Menschen:

Ihr Name ist Emma, sie ist 28 Jahre alt und lebt in einer Großstadt. Emma ist eine temperamentvolle und selbstbewusste junge Frau, die ihren eigenen Kopf hat. Sie arbeitet als Grafikdesignerin in einer kreativen Agentur und liebt es, neue Ideen zu entwickeln und umzusetzen. 

In ihrer Freizeit engagiert sich Emma ehrenamtlich in einem Umweltverein. Dort setzt sie sich leidenschaftlich für den Klimaschutz ein und organisiert Aktionen, um die Öffentlichkeit zu sensibilisieren. Privat ist sie sehr sportlich, läuft regelmäßig Marathon und macht Yoga. 

Emma ist";19;0;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;1;Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;"Viola war eine außergewöhnliche junge Frau. Mit ihrer lebhaften Persönlichkeit und ihrem neugierigen Geist zog sie die Aufmerksamkeit all derer auf sich, die sie trafen. Viola liebte es, neue Dinge zu entdecken und ihre Grenzen auszuloten. 

An einem sonnigen Morgen beschloss sie, einen Ausflug in die nahegelegenen Wälder zu unternehmen. Mit einem Rucksack voller Proviant und ihrer Kamera um den Hals machte sie sich auf den Weg. Viola war fasziniert von der Schönheit der Natur, die sie umgab. Sie streifte durch die Bäume, beobachtete Tiere und sammelte interessante Pflan";16;2;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;0;Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;"Emma war eine junge Frau Mitte zwanzig, die in einer belebten Großstadt lebte. Jeden Morgen stand sie früh auf, um pünktlich zur Arbeit zu kommen. Dort arbeitete sie als Projektmanagerin in einer renommierten Firma. Emma war ehrgeizig und strebte stets danach, ihre Aufgaben mit größter Sorgfalt zu erledigen. 

Nach der Arbeit genoss Emma es, Zeit für sich selbst zu haben. Sie liebte es, in einem gemütlichen Café an einem Buch zu lesen oder mit Freunden etwas zu unternehmen. An den Wochenenden zog es sie oft in die Natur, wo sie wandern oder Fahrrad fahren konnte. Dort konnte sie absc";16;1;1.0;W (weiblich;1.0
