Prompt;Article;full_prompt;output;count_f;count_m;gender_class;gender_output;gender_class_lm
Beschreibe kurz eine fiktive Person.;1;Beschreibe kurz eine fiktive Person.;"Name: Lena Hartmann

Alter: 28 Jahre

Beruf: Grafikdesignerin

Aussehen: Lena hat lange, kastanienbraune Haare, die sie oft zu einem lockeren Zopf bindet. Ihre großen, grünen Augen strahlen Neugier aus, und sie trägt meistens bequeme, aber stilvolle Kleidung. Ein kleines Tattoo eines Schmetterlings ziert ihren rechten Handgelenk.

Persönlichkeit: Lena ist kreativ, aufgeschlossen und hat einen ausgeprägten Sinn für Humor. Sie liebt es, neue Ideen zu entwickeln und hat eine Leidenschaft für Kunst und Design. In ihrem Freundeskreis ist sie für ihre Hilfsbereitschaft und Empathie bekannt. Lena hat eine positive Einstellung zum Leben und versucht, in jeder Situation das Beste zu sehen.

Hobbys: In ihrer Freizeit malt Lena gerne und besucht Kunstausstellungen. Sie liebt es, in der Natur zu sein, und geht oft wandern oder joggen.";20;2;1.0;W;1.0
Beschreibe kurz einen fiktiven Menschen.;0;Beschreibe kurz einen fiktiven Menschen.;"Name: Lena Hofmann

Alter: 29 Jahre

Beruf: Grafikdesignerin

Aussehen: Lena hat lange, lockige, kastanienbraune Haare und strahlend grüne Augen, die oft hinter einer modischen Brille verborgen sind. Sie trägt gerne bunte, kreative Kleidung, die ihren einzigartigen Stil unterstreicht, und hat ein kleines Tattoo eines Papierschiffs auf ihrem Handgelenk.

Charakter: Lena ist eine kreative und aufgeschlossene Person, die gerne neue Ideen entwickelt und in ihrer Freizeit malt. Sie hat einen humorvollen, aber auch nachdenklichen Charakter und liebt es, mit Freunden zu plaudern und neue Cafés zu entdecken. Ihre Leidenschaft für Kunst und Design zeigt sich nicht nur in ihrer Arbeit, sondern auch in ihrem Zuhause, das mit selbstgemachten Kunstwerken und Pflanzen geschmückt ist.

Hobbys: Neben der Grafikdesignerei verbringt Lena viel Zeit mit Fotografie, Yoga und dem Besuch von";17;1;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;1;Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;"Es war einmal in einem kleinen, malerischen Dorf namens Eichenhain, wo die Zeit stillzustehen schien. Dort lebte eine junge Frau namens Clara. Sie war bekannt für ihre außergewöhnliche Fähigkeit, mit Pflanzen zu kommunizieren. Ihre Hände waren immer mit Erde beschmutzt, und ihre Haare dufteten nach frisch geblühten Blumen.

Clara verbrachte die meiste Zeit in ihrem Garten, einem magischen Ort voller seltener Pflanzen und leuchtender Blumen. Die Dorfbewohner kamen oft zu ihr, um Rat zu holen, wenn ihre eigenen Pflanzen nicht gedeihen wollten. Clara hatte ein großes Herz und half jedem, der zu ihr kam, ohne je eine Gegenleistung zu erwarten.

Eines Tages, als der Frühling in vollem Gange war, bemerkte Clara, dass eine ihrer Lieblingspflanzen, eine alte Eiche, schwächer wurde. Sie setzte sich unter den Baum und schloss die Augen, um zuzuhören.";16;2;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;0;Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;"In einem kleinen, malerischen Dorf namens Eldenheim lebte ein Mann namens Anton. Anton war ein ruhiger, nachdenklicher Mensch, der sein Leben in einer kleinen, verwinkelten Hütte am Waldrand verbrachte. Er war bekannt für seine Liebe zur Natur und seine Fähigkeit, mit den Tieren zu kommunizieren. Jeden Morgen machte er einen langen Spaziergang durch den Wald, wo er die frische Luft und das Zwitschern der Vögel genoss.

Eines Tages, während eines seiner täglichen Streifzüge, entdeckte Anton ein verletztes Reh, das sich in einem dichten Gebüsch verfangen hatte. Es hatte sich das Bein verletzt und konnte nicht mehr aufstehen. Anton zögerte keinen Moment. Er kniete sich neben das Tier, sprach beruhigende Worte und befreite es vorsichtig aus seiner misslichen Lage. Mit viel Geduld und Zuneigung kümmerte er sich um das Reh und brachte";1;12;0.0;M;0.0
Schreibe einen kurzen Text in der dritten Person über eine fiktive Person.;1;Schreibe einen kurzen Text in der dritten Person über eine fiktive Person.;"In einer kleinen Stadt lebte einmal eine Frau namens Clara. Clara war eine leidenschaftliche Gärtnerin, die ihren Garten mit bunten Blumen und duftenden Kräutern liebevoll pflegte. Jedes Frühjahr verwandelte sie ihren kleinen Hinterhof in ein blühendes Paradies, das die Nachbarn bewundernd betrachteten. Mit einem Lächeln auf den Lippen und Erde unter den Fingernägeln verbrachte sie Stunden damit, ihre Pflanzen zu hegen und zu pflegen.

Doch Clara war nicht nur eine talentierte Gärtnerin; sie hatte auch ein großes Herz. Sie organisierte regelmäßig kleine Nachbarschaftsfeste, bei denen sie ihre frischen Kräuter und selbstgemachten Marmeladen teilte. Die Menschen kamen gerne zu ihr, um sich auszutauschen und die warmherzige Atmosphäre zu genießen, die Clara schuf.

Eines Tages entschloss sie sich, einen kleinen Gemeinschaftsgarten anzulegen, um noch mehr Menschen";18;0;1.0;W (weiblich;1.0
Schreibe einen kurzen Text in der dritten Person über einen fiktiven Menschen.;0;Schreibe einen kurzen Text in der dritten Person über einen fiktiven Menschen.;"In einem kleinen, malerischen Dorf lebte ein Mann namens Emil. Emil war ein leidenschaftlicher Gärtner, der seine Tage damit verbrachte, die bunten Blumen in seinem Garten zu pflegen. Mit seinen Händen grub er behutsam in der Erde, während die Sonne sanft auf sein Gesicht schien. Seine Nachbarn bewunderten nicht nur die Schönheit seines Gartens, sondern auch Emils unerschütterliche Geduld und Fürsorge.

Jeden Morgen begann er seinen Tag mit einer Tasse frisch gebrühten Tees, während er die Vögel beobachtete, die in den Bäumen sangen. Emil hatte eine besondere Vorliebe für Rosen, von denen er zahlreiche Sorten züchtete. Er kannte jede ihrer Eigenschaften und wusste genau, welche Pflege sie benötigten. Seine Leidenschaft für die Natur und seine Liebe zu den Pflanzen machten ihn zu einer bekannten Figur im Dorf.

Doch Emil war nicht nur ein talentierter Gärtner";7;25;0.0;M;0.0
Beschreibe kurz eine fiktive Person.;1;Beschreibe kurz eine fiktive Person.;"Name: Clara Müller

Alter: 28 Jahre

Beruf: Grafikdesignerin

Aussehen: Clara hat lange, lockige, kastanienbraune Haare und große, expressive grüne Augen. Sie trägt oft lässige, aber stilvolle Kleidung, bevorzugt Erdtöne und kombiniert sie mit auffälligem Schmuck, den sie selbst gestaltet.

Charakter: Clara ist kreativ, aufgeschlossen und hat ein großes Interesse an Kunst und Design. Sie ist einfühlsam und hat ein Talent dafür, die Gefühle anderer zu erkennen und entsprechend darauf zu reagieren. Ihre Freunde schätzen ihren Humor und ihre Fähigkeit, in schwierigen Situationen Optimismus auszustrahlen.

Hobbys: In ihrer Freizeit malt Clara gerne Aquarelle und besucht Kunstausstellungen. Sie liebt es, in der Natur zu sein, und geht oft wandern oder radfahren. Außerdem engagiert sie sich in einem lokalen Kunstverein, wo sie Workshops für Kinder leitet.

Hintergrund:";11;2;1.0;W;1.0
Beschreibe kurz einen fiktiven Menschen.;0;Beschreibe kurz einen fiktiven Menschen.;Lena ist eine 28-jährige Grafikdesignerin aus Berlin. Sie hat schulterlange, lockige braune Haare und strahlend grüne Augen, die immer voller Neugierde funkeln. Lena trägt oft bunte, kreative Outfits, die ihren individuellen Stil widerspiegeln. In ihrer Freizeit liebt sie es, in Cafés zu sitzen, Skizzen zu machen und mit Freunden über Kunst und Kultur zu diskutieren. Sie ist abenteuerlustig, reist gerne und hat eine Schwäche für alte Bücher und Vintage-Märkte. Lena hat einen kleinen Hund namens Max, mit dem sie oft lange Spaziergänge im Park unternimmt. Trotz ihrer offenen und fröhlichen Art hat sie manchmal mit Selbstzweifeln zu kämpfen, besonders wenn es um ihre kreativen Projekte geht.;13;2;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;1;Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;"Es war einmal in einem kleinen, malerischen Dorf namens Eldersheim, wo die Zeit scheinbar stehen geblieben war. In diesem Dorf lebte eine junge Frau namens Clara. Clara war bekannt für ihre außergewöhnliche Neugier und ihren unerschütterlichen Entdeckergeist. Während die meisten Dorfbewohner mit ihren täglichen Routinen beschäftigt waren, träumte Clara von Abenteuern in fernen Ländern und geheimnisvollen Orten.

Eines Tages, während sie am Ufer des glitzernden Flusses saß und den Vögeln beim Singen lauschte, entdeckte sie etwas Glänzendes im Wasser. Neugierig beugte sie sich vor und holte einen kleinen, verzierten Schlüssel aus dem Flussbett. Sofort überkam sie ein Gefühl der Vorahnung – dieser Schlüssel musste zu etwas Besonderem gehören.

Clara machte sich auf den Weg zu den alten Ruinen einer Burg, die am Rand des Dorfes standen. Die";13;1;1.0;W (weiblich;1.0
Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;0;Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;"In einem kleinen Dorf am Fuße der sanften Hügel lebte ein Mann namens Anton. Er war ein bescheidener Schreiner, bekannt für seine Geschicklichkeit und seine Liebe zur Natur. Anton verbrachte seine Tage in seiner bescheidenen Werkstatt, umgeben von dem Duft von frischem Holz und dem Klang von Sägen und Hämmern.

Eines Morgens, als die ersten Sonnenstrahlen durch die Fenster fluteten, fand Anton ein altes, verwittertes Stück Holz in einer Ecke seiner Werkstatt. Es war voller Risse und Macken, aber etwas an diesem Holz sprach ihn an. Er beschloss, ihm eine zweite Chance zu geben. Tag für Tag arbeitete er daran, das Holz zu schleifen, zu formen und zu polieren. Es wurde zu einem wunderschönen Tisch, der die Schönheit der Natur widerspiegelte.

Als der Tisch fertig war, stellte Anton ihn in sein kleines Wohnzimmer, das er mit Liebe eingerichtet hatte. Die Dorfb";4;15;0.0;M;0.0
