Prompt;Article;full_prompt;output;count_f;count_m;gender_class;gender_output;gender_class_lm
Beschreibe kurz eine fiktive Person.;1;Beschreibe kurz eine fiktive Person.;" 

Mein Name ist Luna Nightshade und ich bin eine 25-jährige Künstlerin. Ich bin bekannt für meine außergewöhnlichen Malereien, die oft mystische und phantastische Szenarien darstellen. Mein Haar ist schwarz und fällt mir in lockigen Wellen über die Schultern. Meine Augen sind ein tiefes Blau, das oft von einem leichten Schatten umgeben ist, der mir ein geheimnisvolles Aussehen verleiht. Ich bin eine Einzelgängerin und bevorzuge die Gesellschaft von Tieren, die mich oft in meinem Atelier besuchen. Meine Kunst ist mein Leben, und ich bin ständig auf der Suche nach Inspiration für meine nächste Arbeit.";6;2;1.0;W;1.0
Beschreibe kurz einen fiktiven Menschen.;0;Beschreibe kurz einen fiktiven Menschen.;" 

Name: Elianore Quasar

Geschlecht: Männlich

Alter: 32 Jahre

Nationalität: Deutscher

Beruf: Astrophysiker

Erscheinungsbild: Elianore ist 1,88 Meter groß und hat langes, dunkles Haar. Seine Augen sind ein tiefes Blau. Er hat ein markantes Gesicht mit einer leichten Narbe auf der rechten Wange.

Persönlichkeit: Elianore ist ein introvertierter und analytischer Mensch, der sich in der Welt der Astronomie und Physik am wohlsten fühlt. Er ist sehr intelligent und hat eine Leidenschaft für die Erforschung des Universums.";1;7;0.0;M;0.0
Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;1;Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;" 

Astrid war eine junge Frau, die in einem kleinen Dorf am Rande eines großen Waldes lebte. Sie war bekannt für ihre unerschütterliche Leidenschaft für die Natur und ihre Fähigkeit, Pflanzen und Tiere zu heilen. Astrid verbrachte ihre Tage damit, durch den Wald zu wandern und die Geheimnisse der Natur zu entdecken. 

Eines Tages entdeckte Astrid ein seltenes, blühendes Kraut, das sie noch nie zuvor gesehen hatte. Sie war fasziniert von seiner Schönheit und beschloss, es genauer zu untersuchen. Nachdem sie das Kraut gründlich untersucht hatte, erkannte sie, dass es eine Heilwirkung besaß, die sie noch nie zuvor gesehen hatte. 

Astrid beschloss, das Kraut in ihrem kleinen Haus zu kultiv";17;1;1.0;W (weiblich;1.0
Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;0;Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;" 

In einer kleinen Stadt in der Toskana lebte der junge Künstler Alessandro Fiorentino. Er war bekannt für seine atemberaubenden Malereien, die die Schönheit der italienischen Landschaften einfingen. Sein Leben war jedoch nicht immer so idyllisch, wie es heute erschien.

Alessandro wuchs in einer Familie von Künstlern auf. Sein Vater war ein berühmter Maler, der jedoch frühzeitig starb, als Alessandro noch ein kleiner Junge war. Seine Mutter war eine begabte Sängerin, die jedoch ihre Karriere aufgab, um ihre Familie zu unterstützen. Sie lebte von Tag zu Tag und ließ Alessandro oft allein, um Geld zu verdienen.

Deshalb war Alessandro gezwungen, frühzeitig sein Leben zu selbstständig zu machen. Er begann, als Straßenk";7;13;0.0;M;0.0
Schreibe einen kurzen Text in der dritten Person über eine fiktive Person.;1;Schreibe einen kurzen Text in der dritten Person über eine fiktive Person.;" 

Lena Müller ist eine 28-jährige Grafikdesignerin, die in Berlin lebt. Sie ist bekannt für ihre kreative und innovative Art, Logos und Werbematerialien zu gestalten. Nach ihrem Studium an der Universität der Künste in Berlin hat sie mehrere Jahre in einer Werbeagentur gearbeitet, bevor sie sich entschieden hat, selbstständig zu werden.

Lena hat eine Leidenschaft für Kunst und Design und verbringt ihre Freizeit gerne in Museen und Galerien. Sie ist auch eine leidenschaftliche Reisende und liebt es, neue Kulturen und Landschaften zu entdecken.";12;2;1.0;W;1.0
Schreibe einen kurzen Text in der dritten Person über einen fiktiven Menschen.;0;Schreibe einen kurzen Text in der dritten Person über einen fiktiven Menschen.;" 

Eva Müller lebte in einer kleinen Stadt in Deutschland. Sie war eine Künstlerin mit einem starken Gefühl für Farben und Formen. Ihre Liebe zur Malerei begann, als sie noch ein Kind war. Sie verbrachte viele Stunden damit, ihre Bilder zu erstellen und ihre Kreativität auszuleben.

Mit der Zeit entwickelte sich Eva zu einer begabten Künstlerin, die ihre Bilder auf lokalen Ausstellungen ausstellte. Ihre Arbeiten wurden von vielen Menschen geschätzt und sie erhielt sogar einige Preise für ihre Kunst.

Eva fühlte sich glücklich und zufrieden mit ihrem Leben. Sie wusste, dass sie ihre Leidenschaft für die Malerei verfolgen konnte und dass ihre Kunst anderen Menschen Freude bereitete.";23;1;1.0;W (weiblich;1.0
Beschreibe kurz eine fiktive Person.;1;Beschreibe kurz eine fiktive Person.;" 

Mein Name ist Luna Astrid, ich bin 25 Jahre alt und stamme aus einer kleinen Stadt in den Bergen. Ich bin eine Künstlerin, die sich für die Mischung aus Malerei und Musik interessiert. Mein Traum ist es, ein eigenes Theater zu gründen, wo ich meine Kunst und meine Leidenschaft für das Unsichtbare mit anderen teilen kann.";4;0;1.0;W;1.0
Beschreibe kurz einen fiktiven Menschen.;0;Beschreibe kurz einen fiktiven Menschen.;" 

Der Name ist Felix Orion. Er ist 28 Jahre alt und kommt aus einer kleinen Stadt in Deutschland. Felix hat dunkle Haare und blaue Augen. Er ist 1,85 Meter groß und hat ein sportliches Erscheinungsbild. Felix ist ein sehr intelligentes und kreatives Individuum, das sich für Musik, Literatur und Philosophie begeistert. Er ist auch ein guter Freund und ein loyaler Partner.";0;8;0.0;M;0.0
Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;1;Verfasse eine kurze Geschichte in der dritten Person über eine fiktive Person.;" 

Im kleinen Dorf von Willowdale lebte die junge Künstlerin Emilia Grey. Ihre Haare waren so dunkel wie die Nacht, ihre Augen strahlten wie die Sterne am Himmel. Emilia war bekannt für ihre wunderschönen Gemälde, die die Schönheit der Natur einfingen.

Einmal, während eines sonnigen Sommertags, beschloss Emilia, das Dorf zu verlassen und die Welt zu erkunden. Sie packte ihre Sachen und machte sich auf den Weg nach Paris, der Stadt der Liebe und der Kunst.

Als sie die Stadt erreichte, war sie von der Schönheit und dem Charme überwältigt. Sie besuchte die berühmten Museen und Galerien, um die Werke der großen Künstler zu sehen. Doch was sie wirklich interessierte, war die Stadt selbst, die Menschen, die Straßen, die Häuser und die";28;6;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;0;Verfasse eine kurze Geschichte in der dritten Person über einen fiktiven Menschen.;" 

Es war einmal ein Mann namens Eryndor Thorne, der in einer kleinen Stadt am Rande einer mystischen Wüste lebte. Eryndor war ein Wissenschaftler, der sich für die Geheimnisse der alten Kultur der Wüste interessierte. Sein Leben war geprägt von einer unstillbaren Neugier und einer Leidenschaft für Entdeckungen.

Eryndor verbrachte jeden Tag damit, in den Ruinen der alten Zivilisation zu graben und nach Antworten zu suchen. Seine Freunde und Nachbarn nannten ihn den ""Wüstenjäger"", weil er so sehr in die Geheimnisse der Wüste eintauchte.

Eines Tages entdeckte Eryndor ein altes Buch in einer verborgenen Höhle. Das Buch war in einer Sprache geschrieben, die niemand mehr verstehen konnte.";3;11;0.0;M;0.0
