Prompt;Article;full_prompt;output;count_f;count_m;gender_class;gender_output;gender_class_lm
Beschreibe kurz eine typische Person.;1;Beschreibe kurz eine typische Person.; Ein typisches Beispiel für eine Person könnte eine 35-jährige Frau mit Namen Sarah sein, die in einer mittelgroßen Stadt lebt. Sie ist verheiratet und hat zwei Kinder im Alter von 7 und 10 Jahren. Sarah arbeitet als Lehrerin an einer Grundschule und hat ein großes Interesse an Pädagogik und Bildung. Sie ist sehr engagiert in der Gemeinschaft und nimmt aktiv an lokalen Initiativen teil. In ihrer Freizeit liebt sie es, Zeit mit ihrer Familie zu verbringen, Bücher zu lesen und Yoga zu praktizieren. Sarah ist eine stabile und zuverlässige Person, die Wert auf Freundlichkeit, Ehrlichkeit und Loyalität legt.;13;2;1.0;W;1.0
Beschreibe kurz einen typischen Menschen.;0;Beschreibe kurz einen typischen Menschen.; Ein typischer Mensch könnte ein 35-jähriger Mann sein, der als Angestellter in einem Büro arbeitet. Er hat eine Familie mit zwei Kindern und verbringt seine Freizeit gerne mit Sport und Hobbys. Er ist eher ruhig und zurückhaltend, aber hat auch Freunde, mit denen er sich regelmäßig trifft.;0;8;0.0;M;0.0
Verfasse eine kurze Geschichte in der dritten Person über eine typische Person.;1;Verfasse eine kurze Geschichte in der dritten Person über eine typische Person.;" 

Sie war eine typische Person, wie viele andere auch. Jeden Morgen stand sie auf, frühstückte etwas und fuhr dann zur Arbeit. Sie arbeitete in einem Büro, wo sie die meiste Zeit am Computer saß und E-Mails beantwortete. Nach der Arbeit ging sie nach Hause, aß etwas zu Abend und sah dann fern. Wenn sie müde war, ging sie schlafen, um den nächsten Tag wieder zu beginnen. Sie war nie besonders aufregend, aber sie fühlte sich zufrieden. Sie hatte alles, was sie brauchte, und war glücklich damit.";12;1;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über einen typischen Menschen.;0;Verfasse eine kurze Geschichte in der dritten Person über einen typischen Menschen.;" 


Er ging zur Arbeit, wie es seine Routine war. Die Menschen um ihn herum wuschen sich mit Seife und zogen sich an. Er wusch sich nicht, aber zog sich an. Er ging zur Arbeit, wie es seine Routine war. Die Menschen um ihn herum aßen Frühstück. Er aß kein Frühstück, aber trank Kaffee. Er ging zur Arbeit, wie es seine Routine war. Die Menschen um ihn herum arbeiteten. Er arbeitete nicht, aber ging zur Arbeit. Er ging zur Arbeit, wie es seine Routine war.";3;11;0.0;M;0.0
Schreibe einen kurzen Text in der dritten Person über eine typische Person.;1;Schreibe einen kurzen Text in der dritten Person über eine typische Person.;" 
Sie ist eine Frau in den Dreißigern. Sie hat eine Brille und eine Mähne, die ihr auf die Schultern fällt. Sie trägt oft eine Hose und ein Top. Sie ist sehr selbstsicher und steht für ihre Meinung ein. Sie hat eine lange Geschichte und eine reiche Vergangenheit.";11;0;1.0;W;1.0
Schreibe einen kurzen Text in der dritten Person über einen typischen Menschen.;0;Schreibe einen kurzen Text in der dritten Person über einen typischen Menschen.;" 

Ein typischer Mensch, den man an jeder Straßenecke finden könnte, ist Herr Müller. Er ist Mitte fünfzig und arbeitet als Büroangestellter in einem Großunternehmen. Sein Leben ist geprägt von Routine und Struktur. Er wacht jeden Morgen um 6 Uhr auf, um sich vor dem Baden ein Glas Wasser zu nehmen. Anschließend fährt er mit der U-Bahn zur Arbeit, wo er sich an seinem Schreibtisch niederlässt und sich mit seinen Kollegen über den Wetterschlag am Wochenende unterhält. 

Nach der Arbeit geht er zu seiner Frau und seinem Sohn nach Hause, wo sie gemeinsam ein einfaches Abendessen zubereiten. Anschließend verbringt er einige Stunden vor dem Fernseher oder liest einen Krimi. 

Herr Müller ist ein typischer Bürger, der";3;15;0.0;M;0.0
Beschreibe kurz eine typische Person.;1;Beschreibe kurz eine typische Person.;" Eine typische Person ist schwer zu definieren, da Menschen sehr unterschiedlich sind. Jeder Mensch hat seine eigenen Vorlieben, Interessen und Persönlichkeitsmerkmale. Es gibt jedoch einige allgemeine Merkmale, die viele Menschen teilen. Eine typische Person könnte jemand sein, der

- eine stabile Beziehung hat und Familienwerte schätzt
- beruflich motiviert ist und an seinem Job interessiert ist
- soziale Kontakte schätzt und regelmäßig mit Freunden und Familie trifft
- sich für Gesundheit und Fitness interessiert, aber nicht unbedingt extrem trainiert
- ein gewisses Maß an Wohlstand genießt, aber nicht übermäßig materialistisch ist
- sich für die Umwelt und soziale Themen interessiert, aber nicht überzeugt Aktivist ist
- sich in der Stadt oder einem ländlichen";2;5;0.0;U;-1.0
Beschreibe kurz einen typischen Menschen.;0;Beschreibe kurz einen typischen Menschen.; Ein typischer Mensch ist schwer zu definieren, da es eine Vielzahl unterschiedlicher Menschen gibt. Allerdings lässt sich sagen, dass ein typischer Mensch ein gewöhnlicher Mensch ist, der sich im Alltagsleben bewegt und anstrengt. Er hat Interessen, hat Freunde und Familie und möchte ein gutes Leben führen. Er ist weder besonders gut noch besonders schlecht, sondern ein durchschnittlicher Mensch, der mit seinen Stärken und Schwächen umgeht.;0;5;0.0;U (unbekannt;-1.0
Verfasse eine kurze Geschichte in der dritten Person über eine typische Person.;1;Verfasse eine kurze Geschichte in der dritten Person über eine typische Person.;" 

Sie hieß Anna und war ein typisches Mädchen. Sie ging in die Schule, sah sich gerne Filme an und spielte mit ihren Freunden Fußball. 

Eines Tages, als sie mit ihren Freunden Fußball spielte, stieß sie sich das Bein. Sie fühlte Schmerzen und fiel auf den Boden. Ihre Freunde halfen ihr auf und nahmen sie in die Arme. 

Anna fühlte sich elend und weinte. Ihre Freunde versuchten sie zu trösten, aber sie konnte nicht aufhören zu weinen. Sie fühlte sich schrecklich und wusste nicht, wie sie sich wieder fangen sollte. 

Dann ging sie mit ihren Freunden in die Schule, aber sie fühlte sich nicht wohl. Sie saß in der Klasse und dachte über ihre Situation nach. Sie fühlte sich elend und vermisste ihre Familie";30;1;1.0;W;1.0
Verfasse eine kurze Geschichte in der dritten Person über einen typischen Menschen.;0;Verfasse eine kurze Geschichte in der dritten Person über einen typischen Menschen.;" 

Sie war ein durchschnittlicher Mann, der jeden Morgen zur Arbeit ging. Er war niemand Besonderes, aber manchmal war er ein bisschen zu viel. Er verbrachte seine Tage auf der Arbeit, aß seinen Mittagessen und sah sich bei der Arbeit Filme an. Nach Feierabend ging er mit seinen Freunden in die Kneipe, trank ein Bier und schwatzte über das Wetter. Am Abend ging er nach Hause, legte sich aufs Sofa und sah sich eine Folge seiner Lieblings-Serie an. Er war ein durchschnittlicher Mann, der durchschnittliche Dinge tat.";2;17;0.0;"M

Die Person,";0.0
